50 750
18 20 105
16 45 222
5 4 413
43 33 336
41 22 305
31 36 164
2 34 80
23 13 182
49 24 163
24 45 84
50 20 324
28 39 201
49 8 255
10 37 296
33 18 152
25 32 396
1 34 426
37 45 186
6 24 238
1 5 272
41 40 207
50 48 216
29 15 196
30 21 362
49 29 412
39 26 302
33 37 279
40 16 257
18 44 413
28 6 271
48 44 63
50 0 278
6 35 47
31 23 398
33 13 414
43 17 294
3 20 47
45 34 66
15 3 118
30 6 404
3 31 409
9 31 238
28 34 50
45 48 210
43 0 62
36 18 313
44 16 74
50 39 412
23 35 124
49 10 375
32 13 147
19 9 81
15 11 116
33 5 406
21 27 391
17 18 246
16 24 27
13 30 326
49 35 81
15 41 232
43 13 57
0 1 280
31 10 33
26 2 84
2 21 103
35 4 265
22 33 256
27 44 403
33 23 86
7 18 100
3 12 421
22 35 127
42 39 208
33 33 387
45 16 353
7 7 7
45 22 279
23 33 2
26 18 181
27 32 170
30 11 423
15 23 55
29 36 139
40 29 170
25 8 371
38 30 76
33 1 384
5 16 267
21 39 165
19 15 222
35 29 24
46 41 417
27 22 145
5 36 264
46 6 206
28 8 262
8 48 195
48 12 350
22 1 39
19 2 375
19 35 78
28 39 100
48 13 112
37 43 297
3 19 200
40 41 370
17 1 107
43 25 227
19 48 263
17 50 190
13 13 33
28 0 8
9 11 203
24 1 393
11 45 380
1 20 79
0 42 307
20 14 165
45 2 44
14 48 31
19 49 42
28 32 311
8 42 318
11 23 46
3 12 346
47 38 74
21 15 104
21 21 317
12 5 92
15 31 177
7 23 338
34 0 361
24 32 305
39 14 278
50 27 80
7 15 208
32 26 201
31 25 340
46 35 117
13 20 178
5 48 114
35 46 284
50 22 24
5 29 81
27 30 377
50 30 415
5 3 277
1 20 260
34 12 113
13 31 250
1 12 86
19 3 236
42 18 253
9 20 374
31 30 158
7 44 353
4 36 404
8 35 238
39 44 424
34 46 140
42 50 200
45 33 91
44 44 400
49 39 37
0 3 384
50 35 226
13 30 97
11 33 214
33 22 68
9 12 374
39 30 331
39 42 46
30 11 310
29 16 111
6 8 57
34 3 142
16 49 231
37 21 139
20 32 227
17 0 216
46 47 164
21 49 285
19 25 179
6 19 132
38 12 355
2 0 362
31 32 384
1 13 42
39 26 107
41 38 225
19 26 395
4 40 414
32 18 32
48 42 238
21 39 191
36 9 233
25 35 19
45 47 250
0 12 389
7 3 356
21 10 383
18 9 331
45 29 188
1 37 317
28 41 152
21 27 361
15 41 88
6 20 310
47 15 327
25 31 199
42 29 56
32 29 93
14 4 128
44 23 110
1 45 228
12 18 253
16 50 166
0 14 288
5 39 70
47 45 37
15 28 40
47 22 50
6 28 148
40 28 420
16 42 370
50 19 48
22 7 131
25 28 253
20 12 85
20 12 247
30 48 339
15 15 211
33 10 418
9 19 87
14 28 238
24 8 378
1 36 117
47 22 20
20 7 363
1 1 299
29 3 100
10 47 426
49 49 124
8 4 351
19 37 14
26 50 44
36 5 252
11 9 215
4 37 291
29 48 149
11 4 202
4 46 131
8 40 430
18 9 213
38 29 171
9 2 424
30 8 246
14 8 186
17 33 422
4 24 145
50 46 127
31 34 373
39 27 313
0 32 2
41 26 82
34 19 5
28 19 398
15 7 110
18 14 328
23 34 338
16 10 230
10 15 76
29 27 338
35 25 386
9 37 93
38 26 349
35 13 256
35 11 8
47 7 315
31 29 410
6 47 259
26 25 306
38 37 292
23 7 14
47 5 159
12 42 143
43 22 317
19 15 360
28 16 367
33 46 24
15 10 321
33 14 22
49 40 58
6 34 224
7 25 303
5 5 240
40 10 202
13 17 357
11 18 4
24 49 376
38 30 133
42 37 37
50 14 102
19 5 178
31 4 279
5 7 122
17 28 255
26 37 112
9 42 147
13 8 167
39 42 374
1 14 69
44 41 112
21 14 363
49 9 14
39 1 391
23 30 353
38 37 335
23 33 191
13 14 13
19 13 396
30 40 244
8 48 239
12 20 308
14 22 232
42 14 179
35 7 227
46 34 29
47 13 413
7 18 250
17 16 351
16 21 315
16 49 354
31 32 50
26 45 308
18 28 243
13 40 82
40 39 366
49 42 12
29 3 51
19 35 79
18 42 394
5 18 55
12 33 282
42 43 91
32 7 156
0 43 96
29 42 101
44 32 263
45 19 406
24 9 203
9 11 142
10 16 94
47 8 219
15 7 226
4 26 253
34 19 107
32 28 330
42 24 380
0 24 302
44 22 351
28 2 262
32 14 241
33 22 302
34 15 296
33 18 103
8 28 13
39 2 188
21 39 2
39 10 65
23 20 46
10 44 103
12 38 190
35 9 138
7 14 220
1 29 273
2 44 224
20 45 109
50 29 118
35 23 118
13 26 288
6 23 272
8 10 206
17 38
